episode,global_step,episode_reward
0,300,858.0383235708638
1,600,894.6185057815189
2,900,910.2034066063175
3,1200,672.0095009317333
4,1500,935.1904508770963
5,1800,1019.853447201481
6,2100,793.645657231516
7,2400,984.7463665050043
8,2700,962.5405159698333
9,3000,965.4989192485986
10,3300,1149.8954272373323
11,3600,1078.6177492802647
12,3900,1014.9206613014776
13,4200,965.3522574875259
14,4500,987.7680261643039
15,4800,1126.7792864512423
16,5100,873.7790160991487
17,5400,915.3306850279598
18,5700,839.668012890198
19,6000,1013.3154066443133
20,6300,894.3952160702936
21,6600,994.8002780105031
22,6900,1030.6052470147092
23,7200,1005.8888149469963
24,7500,863.7403482708929
25,7800,878.3476895073541
26,8100,1055.4472517625259
27,8400,1002.4527836278432
28,8700,866.5467735613394
29,9000,1116.8844775599835
30,9300,929.8147809537679
31,9600,969.4150123386355
32,9900,972.0813413989246
33,10200,972.8078957082458
34,10500,911.0806505733394
35,10800,988.9502998666975
36,11100,996.6393559930107
37,11400,780.3979958166125
38,11700,920.3351622007797
39,12000,994.2298877029743
40,12300,996.7727377823323
41,12600,885.1507092648808
42,12900,1162.1066294198697
43,13200,1065.2446491691107
44,13500,1158.934499078174
